"","vegdv","treatments"
"X2_1_1_6_EN",3.02499324472007,"2_1_1EN_28"
"X2_1_1_7_EN",7.59595314587416,"2_1_1EN_28"
"X2_1_1_8_EN",8.34341368098839,"2_1_1EN_28"
"X2_1_1_9_EN",5.16440272130684,"2_1_1EN_28"
"X2_1_2_1_EN",6.88648956932095,"2_1_2EN_29"
"X2_1_2_10_EN",4.12764732808132,"2_1_2EN_29"
"X2_1_2_2_EN",7.171869811416,"2_1_2EN_29"
"X2_1_2_3_EN",4.30079653481341,"2_1_2EN_29"
"X2_1_2_5_EN",4.73544219952643,"2_1_2EN_29"
"X2_1_2_6_EN",3.26584430773097,"2_1_2EN_29"
"X2_1_2_7_EN",3.84579265493052,"2_1_2EN_29"
"X2_1_2_8_EN",4.92847954750805,"2_1_2EN_29"
"X2_1_2_9_EN",3.55716861882637,"2_1_2EN_29"
"X2_1_3_1_EN",8.2759356135123,"2_1_3EN_30"
"X2_1_3_2_EN",6.49005577015812,"2_1_3EN_30"
"X2_1_3_3_EN",4.48648755348881,"2_1_3EN_30"
"X2_1_3_4_EN",3.65021530311122,"2_1_3EN_30"
"X2_1_3_5_EN",5.90872096306081,"2_1_3EN_30"
"X2_1_3_6_EN",4.46708556618233,"2_1_3EN_30"
"X2_1_3_7_EN",4.29545498537709,"2_1_3EN_30"
"X2_1_3_8_EN",7.79286577797935,"2_1_3EN_30"
"X2_1_3_9_EN",4.97007928158503,"2_1_3EN_30"
"X2_1_4_1_EN",8.34875260540727,"2_1_4EN_31"
"X2_1_4_10_EN",5.24524328789573,"2_1_4EN_31"
"X2_1_4_2_EN",6.65492978843941,"2_1_4EN_31"
"X2_1_4_3_EN",8.26381600040899,"2_1_4EN_31"
"X2_1_4_4_EN",7.6456640403962,"2_1_4EN_31"
"X2_1_4_5_EN",3.8066072079348,"2_1_4EN_31"
"X2_1_4_6_EN",4.83489411198804,"2_1_4EN_31"
"X2_1_4_7_EN",8.29553723377583,"2_1_4EN_31"
"X2_1_4_8_EN",3.35216483163941,"2_1_4EN_31"
"X2_1_4_9_EN",3.80142720234381,"2_1_4EN_31"
"X2_1_5_1_EN",4.10663848200303,"2_1_5EN_32"
"X2_1_5_10_EN",7.64212466740802,"2_1_5EN_32"
"X2_1_5_2_EN",8.35350534217175,"2_1_5EN_32"
"X2_1_5_3_EN",4.99706159362276,"2_1_5EN_32"
"X2_1_5_4_EN",5.05417493125706,"2_1_5EN_32"
"X2_1_5_5_EN",2.65037771829191,"2_1_5EN_32"
"X2_1_5_6_EN",6.3895631241106,"2_1_5EN_32"
"X2_1_5_7_EN",4.51676270501725,"2_1_5EN_32"
"X2_1_5_8_EN",7.90008056804842,"2_1_5EN_32"
"X2_1_5_9_EN",2.8560453324471,"2_1_5EN_32"
"X2_1_6_1_EN",7.50335692673951,"2_1_6EN_33"
"X2_1_6_10_EN",7.94115175077771,"2_1_6EN_33"
"X2_1_6_2_EN",7.36294790286268,"2_1_6EN_33"
"X2_1_6_3_EN",7.03364122081289,"2_1_6EN_33"
"X2_1_6_4_EN",7.88637268384212,"2_1_6EN_33"
"X2_1_6_5_EN",3.41143539510877,"2_1_6EN_33"
"X2_1_6_6_EN",4.9067945363349,"2_1_6EN_33"
"X2_1_6_7_EN",7.25807065480124,"2_1_6EN_33"
"X2_1_6_8_EN",8.10705914764876,"2_1_6EN_33"
"X2_1_6_9_EN",1.14165148796158,"2_1_6EN_33"
"X2_2_1_10_EN",8.29147266950033,"2_2_1EN_34"
"X2_2_1_2_EN",4.54454291292381,"2_2_1EN_34"
"X2_2_1_3_EN",3.48547105805234,"2_2_1EN_34"
"X2_2_1_4_EN",8.35074651904335,"2_2_1EN_34"
"X2_2_1_5_EN",5.38932296581612,"2_2_1EN_34"
"X2_2_1_6_EN",8.18299823156292,"2_2_1EN_34"
"X2_2_1_7_EN",4.91323355634883,"2_2_1EN_34"
"X2_2_1_8_EN",2.52407632768415,"2_2_1EN_34"
"X2_2_1_9_EN",3.91090854617557,"2_2_1EN_34"
"X2_2_2_1_EN",6.89789060681278,"2_2_2EN_35"
"X2_2_2_10_EN",2.41239351999616,"2_2_2EN_35"
"X2_2_2_2_EN",8.31796076993481,"2_2_2EN_35"
"X2_2_2_3_EN",7.04044388118894,"2_2_2EN_35"
"X2_2_2_4_EN",2.22909726224682,"2_2_2EN_35"
"X2_2_2_6_EN",8.31021558445361,"2_2_2EN_35"
"X2_2_2_7_EN",3.65678996812497,"2_2_2EN_35"
"X2_2_2_8_EN",7.36195534526396,"2_2_2EN_35"
"X2_2_2_9_EN",7.3112221986111,"2_2_2EN_35"
"X2_2_3_1_EN",8.27192509809557,"2_2_3EN_36"
"X2_2_3_10_EN",2.20583242726283,"2_2_3EN_36"
"X2_2_3_2_EN",8.23033791278927,"2_2_3EN_36"
"X2_2_3_3_EN",6.92813464343985,"2_2_3EN_36"
"X2_2_3_4_EN",4.37659692365571,"2_2_3EN_36"
"X2_2_3_5_EN",6.73633149696419,"2_2_3EN_36"
"X2_2_3_6_EN",5.70820919587885,"2_2_3EN_36"
"X2_2_3_7_EN",7.42983610403785,"2_2_3EN_36"
"X2_2_3_8_EN",5.98437925368089,"2_2_3EN_36"
"X2_2_3_9_EN",4.66851037454618,"2_2_3EN_36"
"X2_2_4_1_EN",5.06660651570574,"2_2_4EN_37"
"X2_2_4_2_EN",6.90379209536622,"2_2_4EN_37"
"X2_2_4_3_EN",1.75493237771579,"2_2_4EN_37"
"X2_2_4_4_EN",7.31435003486856,"2_2_4EN_37"
"X2_2_4_5_EN",8.31719539013257,"2_2_4EN_37"
"X2_2_4_6_EN",6.23339129462719,"2_2_4EN_37"
"X2_2_4_7_EN",8.24308994837933,"2_2_4EN_37"
"X2_2_4_8_EN",3.55771767532541,"2_2_4EN_37"
"X2_2_4_9_EN",7.41144988982622,"2_2_4EN_37"
"X2_2_5_1_EN",2.2571561722365,"2_2_5EN_38"
"X2_2_5_10_EN",7.49224268873594,"2_2_5EN_38"
"X2_2_5_2_EN",8.1064485591339,"2_2_5EN_38"
"X2_2_5_3_EN",7.84138615169076,"2_2_5EN_38"
"X2_2_5_4_EN",5.7749674719063,"2_2_5EN_38"
"X2_2_5_5_EN",6.95033037330781,"2_2_5EN_38"
"X2_2_5_6_EN",5.51028742253687,"2_2_5EN_38"
"X2_2_5_7_EN",6.0868799434044,"2_2_5EN_38"
"X2_2_5_8_EN",6.15053767584685,"2_2_5EN_38"
"X2_2_5_9_EN",4.09898409941072,"2_2_5EN_38"
"X2_2_6_1_EN",3.76440485892943,"2_2_6EN_39"
"X2_2_6_10_EN",7.11795831966631,"2_2_6EN_39"
"X2_2_6_2_EN",7.85335832119382,"2_2_6EN_39"
"X2_2_6_3_EN",8.20789531630332,"2_2_6EN_39"
"X2_2_6_4_EN",2.12473478485045,"2_2_6EN_39"
"X2_2_6_5_EN",7.70896138596068,"2_2_6EN_39"
"X2_2_6_6_EN",7.7664038895891,"2_2_6EN_39"
"X2_2_6_7_EN",8.32815848313797,"2_2_6EN_39"
"X2_2_6_8_EN",7.33961038010589,"2_2_6EN_39"
"X2_2_6_9_EN",5.54904139041232,"2_2_6EN_39"
"X2_2_7_1_EN",1.9288416069377,"2_2_7EN_40"
"X2_2_7_10_EN",5.35256423993648,"2_2_7EN_40"
"X2_2_7_2_EN",4.27325335939244,"2_2_7EN_40"
"X2_2_7_3_EN",2.49400773423212,"2_2_7EN_40"
"X2_2_7_4_EN",7.88745262254009,"2_2_7EN_40"
"X2_2_7_5_EN",2.57981335677632,"2_2_7EN_40"
"X2_2_7_6_EN",4.09898409941072,"2_2_7EN_40"
"X2_2_7_7_EN",7.63839605133571,"2_2_7EN_40"
"X2_2_7_8_EN",6.38728987304185,"2_2_7EN_40"
"X2_2_7_9_EN",5.60472667879108,"2_2_7EN_40"
"X2_3_1_1_EN",8.34255943729733,"2_3_1EN_41"
"X2_3_1_10_EN",8.30938488437983,"2_3_1EN_41"
"X2_3_1_2_EN",7.24657155897156,"2_3_1EN_41"
"X2_3_1_3_EN",5.26278407543032,"2_3_1EN_41"
"X2_3_1_4_EN",8.10139823922832,"2_3_1EN_41"
"X2_3_1_5_EN",4.0124897353506,"2_3_1EN_41"
"X2_3_1_6_EN",4.86762551029102,"2_3_1EN_41"
"X2_3_1_7_EN",3.52238383378149,"2_3_1EN_41"
"X2_3_1_8_EN",8.34257882038601,"2_3_1EN_41"
"X2_3_1_9_EN",5.01911208775811,"2_3_1EN_41"
"X2_3_2_1_EN",8.34823022373968,"2_3_2EN_42"
"X2_3_2_10_EN",7.80693106716835,"2_3_2EN_42"
"X2_3_2_2_EN",8.34410848749238,"2_3_2EN_42"
"X2_3_2_3_EN",7.4912918731011,"2_3_2EN_42"
"X2_3_2_4_EN",8.32991558420789,"2_3_2EN_42"
"X2_3_2_6_EN",2.70267059650444,"2_3_2EN_42"
"X2_3_2_7_EN",4.76975174489548,"2_3_2EN_42"
"X2_3_2_8_EN",5.49080869744013,"2_3_2EN_42"
"X2_3_2_9_EN",6.33709687921018,"2_3_2EN_42"
"X2_3_3_1_EN",1.13735862326783,"2_3_3EN_43"
"X2_3_3_10_EN",5.04823300000199,"2_3_3EN_43"
"X2_3_3_3_EN",7.23686411602622,"2_3_3EN_43"
"X2_3_3_4_EN",8.33994945353715,"2_3_3EN_43"
"X2_3_3_5_EN",5.45294861920171,"2_3_3EN_43"
"X2_3_3_6_EN",8.32634405735818,"2_3_3EN_43"
"X2_3_3_7_EN",8.29818797159923,"2_3_3EN_43"
"X2_3_3_8_EN",6.01798559610984,"2_3_3EN_43"
"X2_3_3_9_EN",6.83483477491977,"2_3_3EN_43"
"X2_3_4_1_EN",3.39265592461146,"2_3_4EN_44"
"X2_3_4_10_EN",2.02413809305552,"2_3_4EN_44"
"X2_3_4_3_EN",3.97210354024106,"2_3_4EN_44"
"X2_3_4_4_EN",7.25956233831547,"2_3_4EN_44"
"X2_3_4_5_EN",6.53826854176752,"2_3_4EN_44"
"X2_3_4_6_EN",1.67455865428599,"2_3_4EN_44"
"X2_3_4_7_EN",6.64280333683214,"2_3_4EN_44"
"X2_3_4_8_EN",8.35069188287108,"2_3_4EN_44"
"X2_3_4_9_EN",8.1555113947292,"2_3_4EN_44"
"X2_3_5_1_EN",4.90398307789591,"2_3_5EN_45"
"X2_3_5_10_EN",1.47400677876037,"2_3_5EN_45"
"X2_3_5_2_EN",8.01103544678783,"2_3_5EN_45"
"X2_3_5_3_EN",3.59825572684003,"2_3_5EN_45"
"X2_3_5_4_EN",2.75391590292461,"2_3_5EN_45"
"X2_3_5_5_EN",1.23488049754412,"2_3_5EN_45"
"X2_3_5_6_EN",8.35338311648996,"2_3_5EN_45"
"X2_3_5_7_EN",2.55655257930535,"2_3_5EN_45"
"X2_3_5_8_EN",4.21331714838848,"2_3_5EN_45"
"X2_3_5_9_EN",6.23298083226511,"2_3_5EN_45"
"X2_3_6_1_EN",8.17354663543899,"2_3_6EN_46"
"X2_3_6_10_EN",6.24763841101336,"2_3_6EN_46"
"X2_3_6_2_EN",7.7137710279687,"2_3_6EN_46"
"X2_3_6_3_EN",8.04982141261975,"2_3_6EN_46"
"X2_3_6_4_EN",8.23468341868192,"2_3_6EN_46"
"X2_3_6_5_EN",8.20789531630332,"2_3_6EN_46"
"X2_3_6_6_EN",7.02304342562893,"2_3_6EN_46"
"X2_3_6_7_EN",4.70363607261482,"2_3_6EN_46"
"X2_3_6_8_EN",6.33413547759669,"2_3_6EN_46"
"X2_3_6_9_EN",0.692818597124063,"2_3_6EN_46"
"X2_3_7_1_EN",1.117092583955,"2_3_7EN_47"
"X2_3_7_10_EN",1.04104972676458,"2_3_7EN_47"
"X2_3_7_2_EN",7.38160920703879,"2_3_7EN_47"
"X2_3_7_3_EN",0.943549439551135,"2_3_7EN_47"
"X2_3_7_4_EN",1.37509979088555,"2_3_7EN_47"
"X2_3_7_5_EN",2.36020123760783,"2_3_7EN_47"
"X2_3_7_6_EN",8.08951074918514,"2_3_7EN_47"
"X2_3_7_7_EN",7.96576557480221,"2_3_7EN_47"
"X2_3_7_8_EN",2.55143885440206,"2_3_7EN_47"
"X2_3_7_9_EN",7.89460528140524,"2_3_7EN_47"
"X3_1_1_1_EN",7.562112827896,"3_1_1EN_48"
"X3_1_1_10_EN",4.8280312852702,"3_1_1EN_48"
"X3_1_1_2_EN",4.18965562345775,"3_1_1EN_48"
"X3_1_1_3_EN",8.11997912658571,"3_1_1EN_48"
"X3_1_1_5_EN",2.04313816503728,"3_1_1EN_48"
"X3_1_1_6_EN",6.55037899924222,"3_1_1EN_48"
"X3_1_1_7_EN",5.88673204948604,"3_1_1EN_48"
"X3_1_1_8_EN",7.23211861303237,"3_1_1EN_48"
"X3_1_1_9_EN",7.52427275332038,"3_1_1EN_48"
"X3_1_2_1_EN",4.95577670015973,"3_1_2EN_49"
"X3_1_2_10_EN",7.29635487740803,"3_1_2EN_49"
"X3_1_2_2_EN",3.64115093853264,"3_1_2EN_49"
"X3_1_2_3_EN",1.73853178407831,"3_1_2EN_49"
"X3_1_2_4_EN",4.72812519673688,"3_1_2EN_49"
"X3_1_2_5_EN",4.83489411198804,"3_1_2EN_49"
"X3_1_2_6_EN",7.25986052648337,"3_1_2EN_49"
"X3_1_2_7_EN",7.17614375990367,"3_1_2EN_49"
"X3_1_2_8_EN",7.20183020706777,"3_1_2EN_49"
"X3_1_2_9_EN",4.10663848200303,"3_1_2EN_49"
"X3_1_3_1_EN",5.61848843370397,"3_1_3EN_50"
"X3_1_3_10_EN",7.72829690932969,"3_1_3EN_50"
"X3_1_3_2_EN",2.9649427954678,"3_1_3EN_50"
"X3_1_3_3_EN",7.91810912815427,"3_1_3EN_50"
"X3_1_3_4_EN",1.81390912613601,"3_1_3EN_50"
"X3_1_3_5_EN",8.35148733028777,"3_1_3EN_50"
"X3_1_3_6_EN",4.44143493692417,"3_1_3EN_50"
"X3_1_3_7_EN",8.29651684460154,"3_1_3EN_50"
"X3_1_3_8_EN",7.24523802819942,"3_1_3EN_50"
"X3_1_3_9_EN",4.93646890685796,"3_1_3EN_50"
"X3_1_4_1_EN",3.44507326302301,"3_1_4EN_51"
"X3_1_4_10_EN",2.96335419912787,"3_1_4EN_51"
"X3_1_4_2_EN",8.35493739367973,"3_1_4EN_51"
"X3_1_4_3_EN",5.06863944415126,"3_1_4EN_51"
"X3_1_4_4_EN",7.88094186980244,"3_1_4EN_51"
"X3_1_4_5_EN",5.32419441647688,"3_1_4EN_51"
"X3_1_4_6_EN",4.22653545107061,"3_1_4EN_51"
"X3_1_4_7_EN",2.43994024156078,"3_1_4EN_51"
"X3_1_4_8_EN",2.87708420564042,"3_1_4EN_51"
"X3_1_4_9_EN",7.10524213012328,"3_1_4EN_51"
"X3_1_5_1_EN",1.55105581551125,"3_1_5EN_52"
"X3_1_5_10_EN",7.94743570383187,"3_1_5EN_52"
"X3_1_5_2_EN",8.10143833890262,"3_1_5EN_52"
"X3_1_5_3_EN",7.57557060280634,"3_1_5EN_52"
"X3_1_5_4_EN",3.62928059122523,"3_1_5EN_52"
"X3_1_5_5_EN",7.75926060221967,"3_1_5EN_52"
"X3_1_5_6_EN",1.49535840038498,"3_1_5EN_52"
"X3_1_5_7_EN",4.80814964325217,"3_1_5EN_52"
"X3_1_5_8_EN",8.26340990601851,"3_1_5EN_52"
"X3_1_5_9_EN",7.88625602951519,"3_1_5EN_52"
"X3_1_6_1_EN",6.61199146212592,"3_1_6EN_53"
"X3_1_6_10_EN",6.97526115950748,"3_1_6EN_53"
"X3_1_6_2_EN",5.92423083094489,"3_1_6EN_53"
"X3_1_6_3_EN",6.90516195951587,"3_1_6EN_53"
"X3_1_6_4_EN",4.58158296557757,"3_1_6EN_53"
"X3_1_6_5_EN",5.7551371471941,"3_1_6EN_53"
"X3_1_6_6_EN",4.38158623989157,"3_1_6EN_53"
