ID,Ambient_Humidity,Ambient_Temperature,Leaf_Angle,Leaf_Temp_Differential,LEF,Light_Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,Relative_Chlorophyll,time,label,taxon,thickness,thicknessReliable,absorbance_420,absorbance_530,absorbance_605,absorbance_650,absorbance_730,absorbance_850,absorbance_880,absorbance_940,angle,angle_direction,B,baseline,compass,compass_direction,contactless_temp,detector_read1,detector_read2,ecs_initial,ecs_max,ecs_r_squared,ECSt,flatten_slope,FmPrime,FoPrime,Fs,FvP/FmP,G,gH+,humidity,humidity2,light2_raw1,light2_raw2,light2_raw3,light6_raw1,light6_raw2,light6_raw3,light_intensity,light_intensity_raw,MPF_rsquared,MPF_slope,NPQt_MPF,NPQt_noMPF,Phi2_MPF,PhiNPQ_MPF,PhiNPQ_noMPF,pitch,pressure,pressure2,qL,qP,R,ratio_MPF/noMPF_Phi2,ratio_MPF/noMPF_PhiNO,ratio_MPF/noMPF_PhiNPQ,Rel_Chl_intensity,RFd,roll,SPAD_420,SPAD_420_intensity,SPAD_530,SPAD_530_intensity,SPAD_605,SPAD_605_intensity,SPAD_650,SPAD_650_intensity,SPAD_730,SPAD_730_intensity,SPAD_850,SPAD_850_intensity,SPAD_880,SPAD_880_intensity,spad_raw1,spad_raw2,spad_raw3,temperature,temperature2,TimeofDay,vH+,User,Device ID,Latitude,Longitude,Issues,note,photo,status
965005,42.486328,22.07,7.05,-0.73,153.51,1188,0.729,0.287,0.412,0.301,29.99212288,8/24/18 12:17,7_1_2_1,Carex paysonis,0.46,N,1.335,1.105,1.146,1.274,0.413,0.4,0.434,0.464,7.05,S,523,482.4164427,90,E,21.34,8217,5416,28020.53,28076.67,0.485041861,0.0011,0.0401,12146.901,3178,8658.9,0.738,556,25.4449,42.486328,43.4375,1441,8952,19934.5,10278,40800.5,40807,1188,2186,-0.988,-8032310.277,,,,,,6.57,682.532593,683.653748,0.143,0.389,1388,1.70185,0.63824,0.67816,1,0.403,2.54,87.11,1,64.14,1,68.2,1,29.99,1,-5.05,1,-6.35,1,-3.03,1,81.05,74.6,58.27,22.07,21.99,12.29833333,0.00004439,harrisonjg,01:12:37:24,,,,,,submitted
965004,43.564453,22.77,19.16,-1.4,151.125,1065,1.362,0.315,0.29,0.395,19.89365892,8/24/18 12:21,7_1_2_2,Carex paysonis,0.31,N,0.966,0.936,1.022,1.006,0.265,0.385,0.36,0.452,19.16,SW,471,444.8562179,90,E,21.37,7664,8201,29707.62,29724,0.194440669,0.0001,0.0181,8451.066,2756,5786.1,0.674,501,222.9024,43.564453,44.922852,2672,16756,37314.5,10560,41959.5,41960,1065,1956,-0.988,-5412930.659,,,,,,17.54,682.327332,683.424316,0.223,0.468,1237,1.53289,0.69123,0.74929,1,0.461,-7.86,51.39,1,48.38,1,57,1,19.89,1,-18.71,1,-6.68,1,-9.21,1,55.41,48.59,32.25,22.77,22.629999,12.35944444,4.10E-07,harrisonjg,01:12:37:24,,,,,,submitted
965003,42.411133,21.17,25.57,0.88,93.093,811,1.34,0.255,0.318,0.427,10.1614809,8/24/18 12:24,7_1_2_3,Carex paysonis,0.47,N,0.613,0.558,0.544,0.564,0.256,0.233,0.265,0.257,25.57,S,366,400.3001466,90,E,22.05,7008,19593,28308.21,28294.57,0.545232405,0,0.0958,6028.922,1954,4491,0.676,388,0,42.411133,44.367188,7390,46633.5,65535,16535.5,65535,65535,811,1491,-0.998,-1960359.305,,,,,,24.46,682.087341,683.210449,0.164,0.377,939,1.28995,0.82886,0.86063,1,0.342,7.69,35.6,1,30.08,1,28.7,1,10.16,1,-0.1,1,-2.47,1,0.78,1,30.7,23.5,27.15,21.17,21.059999,12.41611111,0,harrisonjg,01:12:37:24,,,1,,,submitted
965002,38.572266,20.610001,24.85,1.059999,117.415,792,2.721,0.329,0.18,0.49,7.747144545,8/24/18 12:29,7_1_2_4,Carex paysonis,0.62,N,0.594,0.48,0.552,0.585,0.294,0.275,0.304,0.339,24.85,SW,351,402.677376,90,E,21.67,7043,23632,26033.58,26052.14,-0.039948161,null,-0.0057,4854.692,2100,3255.3,0.567,375,0,38.572266,40.275391,7051,44513.5,65535,13698.5,54482.5,54501.5,792,1440,-0.996,-2715815.514,,,,,,17.88,682.712891,683.813904,0.375,0.581,900,1.39569,0.72695,0.81333,1,0.491,-17.55,25.54,1,14.08,1,21.26,1,7.75,1,-4.54,1,-6.42,1,-3.46,1,24.57,17.5,19.15,20.610001,20.540001,12.48888889,null,harrisonjg,01:12:37:24,,,,,,submitted
965001,38.557617,21.93,6.59,0.13,175.387,1601,2.224,0.243,0.235,0.522,-0.358408822,8/24/18 12:32,7_1_2_5,Carex paysonis,0.47,N,0.173,0.145,0.152,0.147,0.118,0.094,0.136,0.107,6.59,SE,702,323.074151,90,E,22.06,5871,51940,22222.16,22270.22,-0.171848036,NA,-0.0536,1708.073,680,1292.3,0.602,746,NA,38.557617,39.908203,19337.5,65535,59156.5,23393,65535,65535,1601,2937,-0.993,-960664.806,,,,,,3.48,682.751709,683.865784,0.213,0.404,1861,1.76319,0.73032,0.80433,1,0.322,5.6,6.67,1,3.81,1,4.49,1,-0.36,1,1.17,1,-1.27,1,2.9,1,3.99,8.73,31.6,21.93,21.84,12.54805556,NA,harrisonjg,01:12:37:24,,,2,,,submitted
965000,36.737305,22.049999,4.53,-0.049999,142.729,962,0.72,0.33,0.39,0.281,18.73966128,8/24/18 12:36,7_1_2_6,Carex paysonis,0.52,N,0.939,0.874,0.852,0.884,0.355,0.329,0.356,0.359,4.53,W,422,439.2187882,90,E,22,7581,9475,29757.82,29784.5,0.324033344,null,0.0325,9030.512,2354,6053.1,0.739,448,0,36.737305,36.959961,3539.5,22231,49520,13077.5,52024,52039.5,962,1768,-0.998,-4469430.314,,,,,,-0.66,682.845642,683.933655,0.173,0.446,1123,1.32935,0.70857,0.74037,1,0.492,-4.48,58.02,1,51.47,1,49.24,1,18.74,1,-0.46,1,-3.03,1,-0.36,1,52.48,45.65,29.31,22.049999,21.940001,12.61555556,null,harrisonjg,01:12:37:24,,,,,,submitted
964999,37.787109,19.41,25.47,0.97,66.361,323,0.994,0.457,0.273,0.271,4.107916503,8/24/18 12:40,7_1_2_7,Carex paysonis,0.84,N,0.321,0.3,0.282,0.288,0.195,0.127,0.178,0.135,25.47,S,140,347.9331786,90,E,20.38,6237,36231,24199.55,24201.95,-0.107032129,0.0009,-0.0285,4422.553,1283,2403.4,0.71,149,11.0131,37.787109,39.516602,13961,65535,65535,21927.5,65535,65535,323,574,-0.998,-2793087.007,,,,,,24.36,683.080933,684.148438,0.343,0.643,355,1.23687,0.67263,0.71995,1,0.84,-7.65,18.58,1,16.49,1,14.7,1,4.11,1,6.02,1,-0.75,1,4.33,1,15.33,8.73,27.15,19.41,19.389999,12.67916667,0.00008142,harrisonjg,01:12:37:24,,,,,,submitted
964998,41.953125,18.17,19.55,0.76,107.198,697,1.582,0.342,0.255,0.403,22.36313509,8/24/18 12:44,7_1_2_8,Carex paysonis,0.6,N,1.121,0.915,0.827,1.063,0.38,0.391,0.416,0.447,19.55,SW,302,473.8584168,90,E,18.93,8091,8447,29163.84,29179.99,0.511566117,0.0003,0.0576,8759.15,3031,5765.5,0.654,321,22.2826,41.953125,44.167969,2341.5,14663.5,32675.5,10690.5,42393,42408.5,697,1251,-0.998,-4063113.304,,,,,,17.84,683.228271,684.383667,0.275,0.523,779,1.27977,0.76841,0.8175,1,0.519,-8.11,67.48,1,46.86,1,38,1,22.36,1,-6.68,1,-5.54,1,-3.11,1,61.68,54.83,38.48,18.17,18.09,12.73833333,0.00001488,harrisonjg,01:12:37:24,,,,,,submitted
964997,42.621094,18.049999,20.25,0.600001,106.019,720,0.886,0.327,0.357,0.316,19.76368649,8/24/18 12:47,7_1_2_9,Carex paysonis,0.32,N,1.032,0.926,0.877,0.968,0.391,0.374,0.405,0.418,20.25,S,312,488.1897141,90,E,18.65,8302,8213,29182.45,29224.9,0.432897915,0.0007,0.0525,14067.184,3921,9464.1,0.721,332,32.0812,42.621094,44.849609,2915,18308,40796.5,11434,45370,45378.5,720,1295,-0.999,-5658066.809,,,,,,20.04,682.953125,684.136536,0.188,0.454,808,1.24997,0.77027,0.80036,1,0.486,-2.93,61.43,1,50.87,1,45.92,1,19.76,1,-2.61,1,-4.32,1,-1.27,1,55.08,48.14,31.78,18.049999,17.969999,12.79722222,0.0000212,harrisonjg,01:12:37:24,,,,,,submitted
964996,41.991211,18.110001,6.54,0.379999,92.699,670,0.639,0.307,0.423,0.27,30.72469476,8/24/18 12:51,7_1_2_10,Carex paysonis,0.27,N,1.4,1.064,1.103,1.29,0.371,0.386,0.419,0.46,6.54,W,289,501.3663572,90,E,18.49,8496,5827,27097.56,27173.17,0.512694106,0.0013,0.0473,16557.318,4163,11466.6,0.749,307,26.2949,41.991211,43.125,1391.5,8659.5,19290.5,10359.5,41031,41046,670,1199,-0.997,-5962386.753,,,,,,1.63,682.865967,684.065369,0.149,0.411,746,1.2392,0.76785,0.79061,1,0.444,-6.34,93.97,1,60.39,1,64.22,1,30.72,1,-8.95,1,-7.46,1,-4.14,1,82.91,76.29,59.95,18.110001,18.01,12.85722222,0.00005045,harrisonjg,01:12:37:24,,,,,,submitted
964995,38.631836,17.059999,14.17,0.470001,54.195,259,1.034,0.465,0.263,0.272,36.40803466,8/24/18 13:01,7_1_3_1,Erigeron glacialis,0.3,Y,,0.943,1.028,1.404,0.346,0.357,0.405,0.431,14.17,N,111,484.3182262,90,E,17.53,8245,7665,27106.56,27152.9,0.388225144,0.0008,0.0366,12946.313,3809,6926.3,0.706,119,13.18,38.631836,39.740234,1069,6567,14629,11094.5,43972.5,43977,259,461,-1,-3665896.939,,,,,,-14.07,682.832336,684.087646,0.362,0.659,286,1.08392,0.83827,0.86247,1,0.869,-1.66,165.37,1,51.28,1,59.78,1,36.41,1,-8.51,1,-7.35,1,-2.54,1,97.34,91.31,74.96,17.059999,16.98,13.02777778,0.00005808,harrisonjg,01:12:37:24,,,,,,submitted
964994,40.829102,16.74,6.13,0.19,58.829,291,0.679,0.449,0.328,0.223,7.896809768,8/24/18 13:04,7_1_3_2,Erigeron glacialis,0.2,Y,0.588,0.398,0.439,0.552,0.193,0.223,0.261,0.303,6.13,NE,127,391.0629123,90,E,16.93,6872,28180,26285.37,26310.26,-0.164484425,0.0005,-0.0347,9796.23,2508,5395.3,0.744,135,268.5199,40.829102,41.588867,7594.5,48025,65535,14884,59249.5,59270.5,291,523,-0.998,-2585247.669,,,,,,-4.89,682.868408,684.102173,0.281,0.604,327,1.08158,0.82718,0.84507,1,0.816,3.71,28.54,1,9.46,1,13.57,1,7.9,1,-11.01,1,-8.01,1,-4.21,1,24.95,17.85,22.79,16.74,16.67,13.08138889,0.00000186,harrisonjg,01:12:37:24,,,,,,submitted
964993,44.250977,16.58,3.85,0.15,67.892,329,0.309,0.459,0.414,0.128,34.37967704,8/24/18 13:07,7_1_3_3,Erigeron glacialis,0.34,Y,1.554,0.962,0.979,1.32,0.321,0.326,0.368,0.399,3.85,S,148,443.6336428,90,E,16.73,7646,7390,27586.84,27656.25,0.445815162,0.0012,0.0424,15743.157,3330,8523.7,0.788,158,19.3435,44.250977,45.308594,1296,8050.5,17936.5,11945.5,47340,47363,329,598,-0.995,-6889075.498,,,,,,3.74,682.879761,684.088257,0.227,0.582,373,1.14226,0.63168,0.65008,1,0.847,-0.91,115.5,1,56.38,1,58.05,1,34.38,1,-7.71,1,-7.26,1,-3.09,1,92.19,85.67,69.32,16.58,16.51,13.12916667,0.00006103,harrisonjg,01:12:37:24,,,,,,submitted
964992,48.012695,18.129999,23.15,-1.199999,158.195,981,0.875,0.358,0.342,0.299,40.01181568,8/24/18 13:11,7_1_3_4,Erigeron glacialis,0.74,Y,1.758,1.153,1.22,1.522,0.385,0.387,0.432,0.457,23.15,SE,435,451.3766186,90,E,16.93,7760,4656,25564.29,25673.11,0.356677925,0.0019,0.0272,8370.064,2323,5370.6,0.722,462,14.7781,48.012695,49.061523,814.5,4991,11103.5,10436.5,41316,41327.5,981,1800,-0.993,-5529996.778,,,,,,21.11,682.944519,684.093689,0.215,0.496,1137,1.42859,0.65306,0.69799,1,0.558,9.73,130.07,1,69.54,1,76.29,1,40.01,1,-7.23,1,-7.01,1,-2.54,1,106.49,100.52,84.23,18.129999,17.950001,13.19,0.000131,harrisonjg,01:12:37:24,,,,,,submitted
964991,47.963867,18.98,30.3,-0.63,93.197,657,0.676,0.315,0.409,0.276,22.90665616,8/24/18 13:14,7_1_3_5,Erigeron glacialis,0.26,Y,1.155,0.789,0.842,1.037,0.299,0.331,0.372,0.406,30.3,SE,290,436.0265087,90,E,18.35,7534,11272,29035.98,29079.84,0.396843146,0.0009,0.0434,9570.538,2446,6553.6,0.744,309,8.2034,47.963867,48.995117,2491,15607,34793,11742,46600.5,46617,657,1195,-0.993,-3989155.311,,,,,,19.49,682.932373,684.043457,0.158,0.423,749,1.27593,0.74439,0.77073,1,0.46,23.67,74.89,1,38.34,1,43.61,1,22.91,1,-10.72,1,-7.54,1,-3.4,1,63.06,56.23,39.86,18.98,18.780001,13.24666667,0.00011542,harrisonjg,01:12:37:24,,,,,,submitted
964990,51.455078,19.34,22.93,0.4,85.667,1009,0.753,0.189,0.463,0.348,1.906262308,8/24/18 13:18,7_1_3_6,Erigeron glacialis,0.18,Y,0.255,0.191,0.186,0.229,0.096,0.108,0.133,0.131,22.93,SE,459,331.9717811,90,E,19.74,6002,46487,22519.26,22533.07,-0.268653049,NA,-0.082,3827.509,1011,3105.4,0.736,490,NA,51.455078,52.444336,16007.5,65535,65286.5,22101.5,65535,65535,1009,1901,-0.981,-1871321.383,,,,,,15.74,682.918579,684.027161,0.084,0.256,1221,2.00792,0.7217,0.75329,1,0.233,16.89,12.36,1,5.97,1,5.46,1,1.91,1,-3.57,1,-2.32,1,0.21,1,9.74,8.73,27.32,19.34,19.16,13.30583333,NA,harrisonjg,01:12:37:24,,,2,,,submitted
964989,43.015625,19.34,21.34,0.74,124.509,959,1.206,0.289,0.323,0.389,25.66364711,8/24/18 13:20,7_1_3_7,Erigeron glacialis,0.34,Y,1.238,0.847,0.912,1.106,0.293,0.338,0.361,0.405,21.34,S,427,428.7589787,90,E,20.08,7427,9908,28634.13,28714.22,0.33266971,0.0013,0.0319,7606.972,2368,5412.2,0.689,453,12.6709,43.015625,44.422852,2124.5,13282,29591,11766,46687.5,46702,959,1766,-0.99,-4140963.632,,,,,,20.52,682.667053,683.832886,0.183,0.419,1119,1.49025,0.72619,0.77279,1,0.406,5.97,83.34,1,44.2,1,50.72,1,25.66,1,-11.26,1,-6.7,1,-4.42,1,70.06,63.32,46.97,19.34,19.24,13.33916667,0.00010244,harrisonjg,01:12:37:24,,,,,,submitted
964988,46.488281,18.889999,33.75,-0.059999,102.329,804,0.642,0.283,0.437,0.28,6.112642773,8/24/18 13:23,7_1_3_8,Erigeron glacialis,0.54,Y,0.342,0.307,0.287,0.312,0.145,0.1,0.148,0.108,33.75,S,353,335.0282189,90,E,18.83,6047,35254,24582.27,24578.81,0.298423227,0,0.0717,5006.701,1260,3590.6,0.748,376,0,46.488281,47.563477,13212,65535,65535,23328,65535,65535,804,1452,-0.992,-2248870.641,,,,,,33.69,682.650635,683.810486,0.133,0.378,905,1.37646,0.72325,0.75048,1,0.394,-2.23,23.43,1,19.87,1,17.91,1,6.11,1,3.72,1,-0.76,1,4,1,20.42,8.73,27.15,18.889999,18.790001,13.38333333,0,harrisonjg,01:12:37:24,,,1,,,submitted
964987,45.24707,20.790001,16.88,1.109999,165.603,1149,0.929,0.32,0.352,0.327,3.946435605,8/24/18 13:28,7_1_3_9,Erigeron glacialis,0.29,Y,0.43,0.373,0.343,0.415,0.218,0.237,0.241,0.266,16.88,SE,517,377.2749817,90,E,21.9,6669,30316,26283.87,26245.59,0.439355165,0,0.0932,5994.267,1698,4074.4,0.717,549,0,45.24707,46.202148,10423.5,65535,65535,16217,64592.5,64618,1149,2144,-0.991,-4258660.548,,,,,,14.92,682.464355,683.646118,0.186,0.447,1371,1.6286,0.63783,0.68722,1,0.471,7.97,16.42,1,10.76,1,7.7,1,3.95,1,-4.83,1,-2.87,1,-2.5,1,14.92,8.1,26.54,20.790001,20.610001,13.46666667,0,harrisonjg,01:12:37:24,,,1,,,submitted
964986,43.450195,22.030001,34.33,-0.460001,100.824,950,4.327,0.236,0.143,0.621,30.06695549,8/24/18 13:33,7_1_3_10,Erigeron glacialis,0.49,Y,,1.012,1.061,1.283,0.356,0.405,0.449,0.471,34.33,S,435,491.7895187,90,E,21.57,8355,6679,26899.43,27038.98,-0.67869123,NA,-0.0735,3984.64,2080,3044.9,0.478,463,NA,43.450195,44.238281,1412.5,8748,19482,10118,40206.5,40351,950,1784,-0.992,-1811939.406,,,,,,32.86,682.258728,683.421082,0.337,0.493,1141,1.54935,0.75756,0.86034,1,0.309,10.53,153.92,1,54.16,1,59.07,1,30.07,1,-11.51,1,-6.59,1,-2.2,1,81.24,74.97,58.78,22.030001,21.92,13.55083333,NA,harrisonjg,01:12:37:24,,,1,,,submitted
964985,35.011719,22.83,23.12,-0.74,151.964,823,0.69,0.41,0.349,0.241,31.69358015,8/24/18 13:44,7_1_4_1,Salix reticulata var. nana,0.82,Y,1.274,1.082,1.146,1.335,0.351,0.409,0.428,0.481,23.12,S,362,449.06731,90,E,22.09,7726,5705,28022.63,28077.54,0.282443818,0.001,0.0227,11652.662,2998,6871.3,0.743,384,19.7235,35.011719,35.999023,1253.5,7776.5,17303.5,9875.5,39183,39187.5,823,1486,-0.993,-8485870.641,,,,,,23.1,682.560242,683.655334,0.241,0.552,927,1.37,0.60144,0.64332,1,0.696,0.97,79.23,1,60.08,1,66.46,1,31.69,1,-13.02,1,-7.27,1,-5.3,1,85.37,78.96,62.66,22.83,22.74,13.74083333,0.00005087,harrisonjg,01:12:37:24,,,,,,submitted
